text,intent,entity_name,entity_value
"Bisa daftar langsung di tempat?",cara_pendaftaran,layanan,pendaftaran offline
"Daftar ke kantor saja",cara_pendaftaran,layanan,pendaftaran offline
"Saya mau daftar langsung",cara_pendaftaran,layanan,pendaftaran offline
"Daftar langsung bisa?",cara_pendaftaran,layanan,pendaftaran offline
"Saya datang langsung saja",cara_pendaftaran,layanan,pendaftaran offline
"Registrasi langsung di tempat",cara_pendaftaran,layanan,pendaftaran offline
"Syarat untuk besuk apa saja?",syarat_kunjungan,dokumen,KTP
"Apakah wajib bawa KK?",syarat_kunjungan,dokumen,KK
"Apakah fotokopi KTP diperlukan?",syarat_kunjungan,dokumen,KTP
"Anak kecil boleh ikut masuk?",ketentuan_pengunjung,kategori,anak
"Orang tua lanjut usia boleh ikut?",ketentuan_pengunjung,kategori,lansia
"Loket registrasi di mana?",lokasi_layanan,tempat,loket
"Pintu masuk pengunjung sebelah mana?",lokasi_layanan,tempat,pintu masuk
"Petugas informasi ada di mana?",lokasi_layanan,tempat,meja informasi
"Apakah ada nomor yang bisa dihubungi?",kontak,layanan,nomor telepon
"Nomor admin kunjungan berapa?",kontak,layanan,nomor admin
"Apa saja syarat pendaftaran?",syarat_kunjungan,kategori,persyaratan
"Syarat daftar kunjungan apa saja?",syarat_kunjungan,kategori,persyaratan
"Untuk daftar besuk perlu apa saja?",syarat_kunjungan,kategori,persyaratan
"Persyaratan kunjungan apa saja ya?",syarat_kunjungan,kategori,persyaratan
"Kalau mau daftar harus bawa apa?",syarat_kunjungan,kategori,persyaratan
"Yang perlu dibawa untuk daftar apa saja?",syarat_kunjungan,kategori,persyaratan
"Dokumen yang diperlukan apa saja?",syarat_kunjungan,dokumen,persyaratan
"Untuk pendaftaran butuh berkas apa?",syarat_kunjungan,dokumen,berkas
"Daftar kunjungan perlu identitas apa?",syarat_kunjungan,dokumen,identitas
"Apa saja berkas untuk registrasi?",syarat_kunjungan,dokumen,berkas
"Kalau mau besuk harus membawa apa?",syarat_kunjungan,kategori,persyaratan
"Pertama kali daftar harus bagaimana?",cara_pendaftaran,layanan,pendaftaran awal
"Saya baru pertama kali, syaratnya apa?",syarat_kunjungan,kategori,persyaratan
"Apakah harus membawa KTP?",syarat_kunjungan,dokumen,KTP
"Kalau tidak ada KTP bisa pakai SIM?",syarat_kunjungan,dokumen,SIM
"Bisa pakai KK untuk daftar?",syarat_kunjungan,dokumen,KK
"Halo",sapaan,kategori,salam
"Hai",sapaan,kategori,salam
"Selamat pagi",sapaan,waktu,pagi
"Selamat siang",sapaan,waktu,siang
"Selamat sore",sapaan,waktu,sore
"Selamat malam",sapaan,waktu,malam
"Permisi",sapaan,kategori,sopan
"Assalamualaikum",sapaan,kategori,salam islam
"Assalamu'alaikum",sapaan,kategori,salam islam
"Hallo admin",sapaan,kategori,salam
"Halo PAS Assistant",sapaan,kategori,salam
"Saya ingin bertanya",sapaan,kategori,pembuka
"Maaf saya mau tanya",sapaan,kategori,pembuka
"Terima kasih",penutup,kategori,ucapan terima kasih
"Terimakasih",penutup,kategori,ucapan terima kasih
"Makasih",penutup,kategori,ucapan terima kasih
"Terima kasih banyak",penutup,kategori,ucapan terima kasih
"Baik terima kasih",penutup,kategori,ucapan terima kasih
"Siap terima kasih",penutup,kategori,ucapan terima kasih
"Oke makasih",penutup,kategori,ucapan terima kasih
"Sudah jelas, terima kasih",penutup,kategori,ucapan terima kasih
"Sampai jumpa",penutup,kategori,perpisahan
"Bye",penutup,kategori,perpisahan
"Dadah",penutup,kategori,perpisahan
"Assalamualaikum, terima kasih",penutup,kategori,perpisahan
"Saya ingin mendaftar kunjungan",cara_pendaftaran,layanan,pendaftaran
"Saya mau mendaftar besuk warga binaan",cara_pendaftaran,layanan,pendaftaran
"Saya ingin tahu cara daftar besuk",cara_pendaftaran,layanan,pendaftaran
"Saya ingin datang berkunjung caranya bagaimana",cara_pendaftaran,layanan,pendaftaran
"Saya mau tanya cara pendaftaran kunjungan",cara_pendaftaran,layanan,pendaftaran
"Saya ingin tahu syarat pendaftaran apa saja",syarat_kunjungan,kategori,persyaratan
"Saya ingin tanya dokumen apa saja untuk daftar",syarat_kunjungan,kategori,persyaratan
"Mau tanya dong syarat buat besuk apa ya",syarat_kunjungan,kategori,persyaratan
"Saya ingin besuk, syarat pendaftarannya apa saja?",syarat_kunjungan,kategori,persyaratan
"Bisa daftar kunjungan dari sekarang nggak?",pendaftaran_awal,waktu,lebih awal
"Kalau mau besuk minggu depan, daftar sekarang bisa?",pendaftaran_awal,waktu,minggu depan
"Daftar kunjungan harus pas hari H ya?",pendaftaran_awal,waktu,hari H
"Boleh daftar beberapa hari sebelumnya?",pendaftaran_awal,waktu,beberapa hari sebelumnya
"Kalau saya daftar dari jauh-jauh hari bisa nggak?",pendaftaran_awal,waktu,jauh hari
"Mau daftar lebih awal bisa ya?",pendaftaran_awal,waktu,lebih awal
"Besuk nanti minggu depan, daftar sekarang boleh?",pendaftaran_awal,waktu,minggu depan
"Harus daftar hari itu juga atau bisa sebelumnya?",pendaftaran_awal,waktu,sebelumnya
"Kalau daftar sekarang buat beberapa hari lagi bisa?",pendaftaran_awal,waktu,beberapa hari lagi
"Saya mau booking jadwal kunjungan dari sekarang bisa?",pendaftaran_awal,waktu,booking awal
"Bisa reservasi kunjungan lebih awal?",pendaftaran_awal,waktu,reservasi awal
"Kalau belum hari kunjungan, sudah bisa daftar belum?",pendaftaran_awal,waktu,sebelum hari H
"Daftarnya bisa dari sekarang atau nunggu hari kunjungan?",pendaftaran_awal,waktu,lebih awal
"Saya mau amankan slot kunjungan dari sekarang, bisa?",pendaftaran_awal,waktu,slot awal
"Kalau kuotanya cepat penuh, bisa daftar lebih dulu kan?",pendaftaran_awal,waktu,lebih dulu
"Saya ingin daftar hari ini untuk kunjungan minggu depan, apakah bisa?",pendaftaran_awal,waktu,minggu depan
"Saya mau daftar sekarang untuk minggu depan bisa?",pendaftaran_awal,waktu,minggu depan
"Kalau daftar hari ini buat minggu depan boleh?",pendaftaran_awal,waktu,minggu depan
"Saya daftar sekarang untuk kunjungan minggu depan bisa ya?",pendaftaran_awal,waktu,minggu depan
"Daftar hari ini untuk jadwal minggu depan bisa?",pendaftaran_awal,waktu,minggu depan
"Saya mau booking dari sekarang untuk minggu depan",pendaftaran_awal,waktu,booking awal
"Kalau daftar sekarang buat hari lain bisa?",pendaftaran_awal,waktu,lebih awal
"Saya ingin reservasi kunjungan beberapa hari ke depan",pendaftaran_awal,waktu,reservasi awal
