intent,keyword,jawaban
pendaftaran_awal,beberapa hari sebelumnya,"Boleh, Anda dapat mendaftar kunjungan beberapa hari sebelumnya selama kuota masih tersedia.|Tentu bisa, silakan lakukan pendaftaran beberapa hari sebelum jadwal kunjungan.|Ya, pendaftaran lebih awal beberapa hari sebelumnya diperbolehkan.|Silakan daftar beberapa hari sebelumnya agar mendapatkan slot kunjungan.|Pendaftaran beberapa hari sebelum kunjungan sangat diperbolehkan selama kuota masih ada."
pendaftaran_awal,jauh hari,"Bisa, Anda boleh mendaftar kunjungan jauh-jauh hari selama jadwal dan kuota tersedia.|Tentu bisa, silakan lakukan pendaftaran lebih awal agar slot tidak penuh.|Ya, pendaftaran jauh hari sebelumnya diperbolehkan.|Boleh, Anda dapat mengatur jadwal kunjungan dari jauh-jauh hari.|Silakan daftar lebih awal untuk memastikan slot kunjungan masih tersedia."
pendaftaran_awal,sebelumnya,"Bisa, Anda tidak harus mendaftar di hari kunjungan karena pendaftaran dapat dilakukan sebelumnya.|Tentu, pendaftaran dapat dilakukan sebelum hari kunjungan.|Silakan daftar sebelumnya agar proses kunjungan lebih mudah.|Anda dapat melakukan pendaftaran beberapa waktu sebelum jadwal kunjungan.|Tidak perlu menunggu hari H, pendaftaran bisa dilakukan sebelumnya."
pendaftaran_awal,beberapa hari lagi,"Bisa, Anda dapat mendaftar dari sekarang untuk kunjungan beberapa hari lagi.|Tentu bisa, silakan lakukan pendaftaran lebih awal selama kuota tersedia.|Ya, pendaftaran untuk beberapa hari ke depan diperbolehkan.|Boleh, Anda dapat mengamankan slot kunjungan dari sekarang.|Silakan daftar lebih awal agar jadwal yang diinginkan tersedia."
pendaftaran_awal,booking awal,"Bisa, Anda dapat melakukan booking jadwal kunjungan dari sekarang selama slot masih tersedia.|Tentu, jadwal kunjungan dapat dipesan lebih awal.|Silakan booking jadwal kunjungan lebih awal agar kuota tidak penuh.|Ya, Anda dapat mengatur jadwal kunjungan dari sekarang.|Booking kunjungan lebih awal diperbolehkan sesuai kuota yang tersedia."
pendaftaran_awal,reservasi awal,"Tentu, reservasi kunjungan dapat dilakukan lebih awal selama kuota tersedia.|Bisa, Anda dapat melakukan reservasi jadwal kunjungan sebelum hari kunjungan.|Silakan reservasi lebih awal agar mendapatkan jadwal yang diinginkan.|Ya, reservasi kunjungan lebih awal diperbolehkan.|Reservasi awal sangat disarankan agar slot kunjungan tidak habis."
pendaftaran_awal,sebelum hari H,"Bisa, Anda dapat mendaftar sebelum hari kunjungan selama jadwal masih tersedia.|Tentu, pendaftaran sebelum hari H diperbolehkan.|Silakan daftar sebelum hari kunjungan agar slot tetap tersedia.|Ya, Anda tidak perlu menunggu hari H untuk melakukan pendaftaran.|Pendaftaran dapat dilakukan sebelum hari kunjungan sesuai kuota yang tersedia."
pendaftaran_awal,slot awal,"Bisa, Anda dapat mengamankan slot kunjungan dari sekarang selama kuota tersedia.|Tentu, slot kunjungan dapat dipesan lebih awal.|Silakan daftar dari sekarang agar slot kunjungan tidak penuh.|Ya, Anda dapat memesan slot kunjungan lebih awal.|Mengamankan slot lebih awal sangat disarankan agar jadwal tetap tersedia."
pendaftaran_awal,lebih dulu,"Bisa, Anda dapat mendaftar lebih dulu agar kuota kunjungan tidak penuh.|Tentu, mendaftar lebih awal sangat disarankan agar mendapatkan slot.|Silakan daftar lebih dulu selama jadwal kunjungan masih tersedia.|Ya, pendaftaran lebih dulu diperbolehkan selama kuota belum penuh.|Mendaftar lebih awal dapat membantu memastikan slot kunjungan tersedia."
pendaftaran_awal,default,"Pendaftaran kunjungan dapat dilakukan lebih awal sebelum hari kunjungan selama kuota masih tersedia.|Silakan melakukan pendaftaran lebih awal agar mendapatkan jadwal yang diinginkan.|Anda dapat mendaftar beberapa hari sebelum kunjungan sesuai ketersediaan slot.|Boleh mendaftar lebih awal selama jadwal kunjungan masih dibuka.|Kami sarankan melakukan pendaftaran lebih awal agar kuota kunjungan tidak penuh." lakukan pendaftaran lebih awal untuk memastikan ketersediaan slot kunjungan."
syarat_kunjungan,ktp,"Untuk pendaftaran cukup membawa KTP yang masih berlaku.|KTP dapat digunakan sebagai identitas pendaftaran."
syarat_kunjungan,kk,"KK juga dapat digunakan untuk proses pendaftaran.|Kartu Keluarga dapat digunakan sebagai identitas."
syarat_kunjungan,sim,"SIM yang masih berlaku juga dapat digunakan.|SIM bisa digunakan untuk registrasi kunjungan."
syarat_kunjungan,default,"Untuk pendaftaran secara online, silakan mengakses tab Daftar Kunjungan dan pastikan Anda telah membaca informasi pada tab Informasi. Untuk pendaftaran secara offline, harap membawa identitas diri resmi (KTP, KK, atau SIM) dan mempelajari ketentuan kunjungan pada tab Informasi."
barang_boleh,default,"Pengunjung diperbolehkan membawa identitas diri seperti KTP, KK, atau SIM, serta pakaian maksimal 2 potong sesuai ketentuan. Selain itu, pastikan barang tidak termasuk daftar larangan. Silakan klik menu Barang pada fitur chat atau pilih tab Informasi untuk mengetahui aturan barang bawaan.|Barang yang boleh dibawa antara lain identitas resmi dan pakaian secukupnya, selama tidak termasuk barang terlarang. Untuk informasi lebih lengkap, silakan buka menu Barang atau tab Informasi."
barang_bawaan,makanan,"Makanan diperbolehkan sesuai ketentuan dan akan diperiksa petugas.|Makanan boleh dibawa selama sesuai aturan lapas."
barang_bawaan,minuman,"Mohon maaf, minuman tidak diperbolehkan dibawa masuk ke dalam lapas. Namun, khusus susu untuk balita diperbolehkan dengan syarat harus diperiksa dan disegel oleh petugas.|Minuman termasuk barang yang dilarang saat kunjungan. Pengecualian diberikan untuk susu balita yang wajib melalui pemeriksaan dan penyegelan oleh petugas.|Untuk saat ini, semua jenis minuman tidak diperbolehkan, kecuali susu bagi balita dengan ketentuan diperiksa dan disegel oleh petugas.|Minuman tidak dapat dibawa masuk ke area lapas. Namun, susu untuk balita masih diperbolehkan dengan prosedur pemeriksaan dan penyegelan oleh petugas.|Pengunjung tidak diperkenankan membawa minuman, kecuali susu khusus balita yang telah melalui pemeriksaan dan disegel oleh petugas."
barang_terlarang,default,"Barang tajam dan benda terlarang tidak diperbolehkan.|Mohon tidak membawa barang yang dilarang."
fasilitas,kamar mandi,"Kamar mandi tersedia di area ruang tunggu pengunjung.|Toilet berada di dekat ruang tunggu."
fasilitas,masjid,"Masjid berada di Kantor Kemenag di sebelah timur lapas. Pengunjung dapat beribadah di sana.|Tempat ibadah tersedia di Masjid Kantor Kemenag yang terletak di sebelah timur lapas.|Untuk beribadah, pengunjung dapat menuju Masjid di Kantor Kemenag yang berada di sisi timur lapas.|Masjid tidak berada di dalam lapas, melainkan di Kantor Kemenag sebelah timur sebagai tempat ibadah pengunjung.|Pengunjung dapat melaksanakan ibadah di Masjid yang berada di Kantor Kemenag, tepat di sebelah timur lapas.|Fasilitas ibadah tersedia di Masjid Kantor Kemenag yang berlokasi di area timur lapas.|Jika ingin beribadah, silakan menuju Masjid di Kantor Kemenag yang berada di sebelah timur lapas.|Masjid untuk pengunjung berada di Kantor Kemenag, tepatnya di sebelah timur lapas.|Tempat sholat bagi pengunjung tersedia di Masjid Kantor Kemenag di area timur lapas.|Masjid berada di luar area lapas, yaitu di Kantor Kemenag sebelah timur yang dapat digunakan pengunjung."
fasilitas,parkir,"Area parkir tersedia di halaman depan lapas.|Parkir tersedia di area depan."
penutup,default,"Terima kasih telah menggunakan PAS-Assistant.|Baik, semoga informasi ini membantu.|Jika ada pertanyaan lain, silakan hubungi kami kembali."
cek_jadwal,semua hari,"Berikut adalah jadwal pendaftaran kunjungan: {jadwal}. Hari lainnya layanan tutup."
durasi_kunjungan,default,"Durasi kunjungan bagi setiap pengunjung menyesuaikan waktu operasional dan diharapkan selesai sebelum jam kunjungan ditutup."
ketentuan_pengunjung,default,"Anak-anak dan lansia diperbolehkan mengikuti kunjungan dengan syarat didampingi oleh keluarga dewasa."
lokasi_layanan,default,"Layanan pendaftaran dan verifikasi data kunjungan berlokasi di Depan Pos Wasrik. Untuk ruang kunjungan berada di area dalam setelah melewati pemeriksaan keamanan."
kontak,default,"Layanan informasi dan pengaduan dapat dihubungi melalui nomor WhatsApp resmi Lapas atau melalui akun media sosial kami."
ketentuan_pakaian,default,"Pengunjung wajib berpakaian sopan dan rapi. Dilarang mengenakan kaos oblong, celana/rok pendek, jeans, jaket, topi, atau sandal jepit selama berada di area kunjungan."
